Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,10.0,1,2,6,CAN,2.0,DANCE L,6 - 2,402,NZL,6:42,Goal,1
Action shot,4.0,1,2,6,CAN,2.0,LEWIS D,6 - 2,343,NZL,5:43,Saved,0
5m shot,8.0,1,2,7,CAN,2.0,FOURNIER S,7 - 2,334,CAN,5:34,Goal,1
Centre shot,2.0,1,3,7,CAN,2.0,LEWIS N,7 - 3,277,NZL,4:37,Goal,1
5m shot,7.0,1,3,7,CAN,2.0,BEKHAZI J,7 - 3,214,CAN,3:34,Saved,0
5m shot,5.0,1,3,7,CAN,2.0,EGGENS M,7 - 3,195,CAN,3:15,Saved,0
Centre shot,10.0,1,3,7,CAN,2.0,ROBINSON C,7 - 3,177,CAN,2:57,Missed,0
Extra player shot,12.0,1,4,7,CAN,2.0,MYLES J,7 - 4,108,NZL,1:48,Goal,1
Centre shot,2.0,1,4,7,CAN,2.0,ALOGBO K,7 - 4,87,CAN,1:27,Saved,0
5m shot,12.0,1,4,7,CAN,2.0,MYLES J,7 - 4,64,NZL,1:04,Missed,0
Action shot,10.0,1,4,7,CAN,2.0,ROBINSON C,7 - 4,46,CAN,0:46,Saved,0
Centre shot,2.0,1,4,7,CAN,2.0,ALOGBO K,7 - 4,5,CAN,0:05,Post,0
Action shot,7.0,1,4,7,CAN,3.0,BEKHAZI J,7 - 4,452,CAN,7:32,Saved,0
Action shot,8.0,1,4,7,CAN,3.0,FOURNIER S,7 - 4,412,CAN,6:52,Blocked,0
Action shot,8.0,1,4,8,CAN,3.0,FOURNIER S,8 - 4,387,CAN,6:27,Goal,1
Centre shot,5.0,1,4,8,CAN,3.0,EGGENS M,8 - 4,289,CAN,4:49,Saved,0
5m shot,9.0,1,4,8,CAN,3.0,STONEMAN E,8 - 4,262,NZL,4:22,Saved,0
5m shot,12.0,1,5,8,CAN,3.0,MYLES J,8 - 5,217,NZL,3:37,Goal,1
Action shot,7.0,1,5,9,CAN,3.0,BEKHAZI J,9 - 5,132,CAN,2:12,Goal,1
5m shot,6.0,1,6,9,CAN,3.0,LANDRY S,9 - 6,91,NZL,1:31,Goal,1
Centre shot,2.0,1,6,10,CAN,3.0,ALOGBO K,10 - 6,71,CAN,1:11,Goal,1
5m shot,10.0,1,6,10,CAN,3.0,DANCE L,10 - 6,43,NZL,0:43,Saved,0
Action shot,5.0,1,6,11,CAN,3.0,EGGENS M,11 - 6,18,CAN,0:18,Goal,1
Action shot,11.0,1,6,11,CAN,3.0,HUDSON K,11 - 6,2,NZL,0:02,Blocked,0
Penalty shot,5.0,1,6,12,CAN,4.0,EGGENS M,12 - 6,438,CAN,7:18,Goal,1
Action shot,11.0,1,6,12,CAN,4.0,VALIN S,12 - 6,393,CAN,6:33,Post,0
5m shot,11.0,1,6,12,CAN,4.0,VALIN S,12 - 6,329,CAN,5:29,Post,0
Action shot,11.0,1,6,12,CAN,4.0,VALIN S,12 - 6,279,CAN,4:39,Saved,0
Extra player shot,11.0,1,6,13,CAN,4.0,VALIN S,13 - 6,258,CAN,4:18,Goal,1
5m shot,6.0,1,6,13,CAN,4.0,MCKEE K,13 - 6,228,CAN,3:48,Blocked,0
Action shot,5.0,1,6,13,CAN,4.0,EGGENS M,13 - 6,197,CAN,3:17,Saved,0
Centre shot,3.0,1,6,14,CAN,4.0,MONTON K,14 - 6,180,CAN,3:00,Goal,1
Action shot,9.0,1,6,14,CAN,4.0,STONEMAN E,14 - 6,103,NZL,1:43,Saved,0
Counter attack,10.0,1,6,14,CAN,4.0,DANCE L,14 - 6,92,NZL,1:32,Saved,0
Extra player shot,6.0,1,6,15,CAN,4.0,MCKEE K,15 - 6,65,CAN,1:05,Goal,1
5m shot,12.0,1,6,15,CAN,4.0,MYLES J,15 - 6,31,NZL,0:31,Saved,0
Extra player shot,10.0,2,0,0,ESP,1.0,TARRAGO R,0 - 0,436,ESP,7:16,Missed,0
Extra player shot,8.0,2,0,0,ESP,1.0,LOPES DA SILVA C,0 - 0,399,NZL,6:39,Post,0
5m shot,12.0,2,0,0,ESP,1.0,MYLES J,0 - 0,352,NZL,5:52,Post,0
5m shot,10.0,2,0,1,ESP,1.0,TARRAGO R,1 - 0,328,ESP,5:28,Goal,1
5m shot,3.0,2,0,1,ESP,1.0,ESPAR A,1 - 0,281,ESP,4:41,Missed,0
Extra player shot,2.0,2,0,1,ESP,1.0,LEWIS N,1 - 0,249,NZL,4:09,Saved,0
