AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
1,20 sec. exclusion in field,9.0,1,1,HUN,1.0,ERDELYI B,1 - 1,4,HUN,0:04
1,Extra player shot - Saved,7.0,1,1,HUN,1.0,GILCHRIST J,1 - 1,3,AUS,0:03
1,Starting goalkeeper,13.0,1,1,HUN,2.0,HRYSANTHOS A,1 - 1,480,AUS,8:00
1,Starting goalkeeper,1.0,1,1,HUN,2.0,NAGY V,1 - 1,480,HUN,8:00
1,Sprint won possession,3.0,1,1,HUN,2.0,MANHERCZ K,1 - 1,480,HUN,8:00
1,Turnover foul,11.0,1,1,HUN,2.0,MEZEI T,1 - 1,451,HUN,7:31
1,5m shot - Missed,7.0,1,1,HUN,2.0,GILCHRIST J,1 - 1,424,AUS,7:04
1,Action shot - Goal,10.0,1,2,HUN,2.0,VARGA D,1 - 2,414,HUN,6:54
1,Turnover foul,9.0,1,2,HUN,2.0,FORD A,1 - 2,390,AUS,6:30
1,Steal,1.0,1,2,HUN,2.0,NAGY V,1 - 2,390,HUN,6:30
1,Action shot - Post,3.0,1,2,HUN,2.0,MANHERCZ K,1 - 2,370,HUN,6:10
1,5m shot - Saved,11.0,1,2,HUN,2.0,HOLLIS L,1 - 2,344,AUS,5:44
1,Action shot - Saved,7.0,1,2,HUN,2.0,GILCHRIST J,1 - 2,320,AUS,5:20
1,Turnover foul,5.0,1,2,HUN,2.0,VAMOS M,1 - 2,301,HUN,5:01
1,5m shot - Saved,11.0,1,2,HUN,2.0,HOLLIS L,1 - 2,274,AUS,4:34
