Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Extra player shot - Blocked,5,5.0,3,8,CAN,3.0,BOYD J,5 - 8,59,CAN,0:59
Turnover foul,5,11.0,3,8,CAN,3.0,GUIMARAES G,5 - 8,44,BRA,0:44
Steal,5,10.0,3,8,CAN,3.0,CONWAY J,5 - 8,44,CAN,0:44
20 sec. exclusion in centre,5,3.0,3,8,CAN,3.0,GOMES G,5 - 8,20,BRA,0:20
Extra player shot - Goal,5,7.0,3,9,CAN,3.0,TASCHEREAU A,5 - 9,1,CAN,0:01
Starting goalkeeper,5,1.0,3,9,CAN,4.0,ANTONELLI V,5 - 9,480,BRA,8:00
Starting goalkeeper,5,1.0,3,9,CAN,4.0,RANDALL R,5 - 9,480,CAN,8:00
Sprint won possession,5,7.0,3,9,CAN,4.0,DELGADO A,5 - 9,480,BRA,8:00
Centre shot - Saved,5,12.0,3,9,CAN,4.0,VRLIC J,5 - 9,458,BRA,7:38
Turnover foul,5,7.0,3,9,CAN,4.0,TASCHEREAU A,5 - 9,432,CAN,7:12
Action shot - Saved,5,2.0,3,9,CAN,4.0,CRIVELLA J,5 - 9,409,BRA,6:49
Turnover foul,5,4.0,3,9,CAN,4.0,CONSTANTIN-BICARI,5 - 9,386,CAN,6:26
Turnover foul,5,12.0,3,9,CAN,4.0,VRLIC J,5 - 9,379,BRA,6:19
Action shot - Missed,5,5.0,3,9,CAN,4.0,BOYD J,5 - 9,350,CAN,5:50
Action shot - Missed,5,9.0,3,9,CAN,4.0,ROCHA B,5 - 9,332,BRA,5:32
Double exclusion,5,12.0,3,9,CAN,4.0,VRLIC J,5 - 9,332,BRA,5:32
Double exclusion,5,2.0,3,9,CAN,4.0,KUDABA C,5 - 9,332,CAN,5:32
Action shot - Saved,5,7.0,3,9,CAN,4.0,DELGADO A,5 - 9,271,BRA,4:31
5m shot - Missed,5,10.0,3,9,CAN,4.0,CONWAY J,5 - 9,252,CAN,4:12
Action shot - Saved,5,7.0,3,9,CAN,4.0,DELGADO A,5 - 9,238,BRA,3:58
20 sec. exclusion in field,5,2.0,3,9,CAN,4.0,CRIVELLA J,5 - 9,218,BRA,3:38
Extra player shot - Saved,5,12.0,3,9,CAN,4.0,MCELROY J,5 - 9,195,CAN,3:15
20 sec. exclusion in field,5,9.0,3,9,CAN,4.0,ROCHA B,5 - 9,181,BRA,3:01
Time-Out,5,,3,9,CAN,4.0,,5 - 9,181,CAN,3:01
Action shot - Goal,5,6.0,3,10,CAN,4.0,LAPINS D,5 - 10,158,CAN,2:38
Action shot - Goal,6,12.0,3,10,CAN,4.0,VRLIC J,6 - 10,127,BRA,2:07
Turnover foul,6,12.0,3,10,CAN,4.0,VRLIC J,6 - 10,45,BRA,0:45
Turnover foul,6,2.0,3,10,CAN,4.0,KUDABA C,6 - 10,20,CAN,0:20
Steal,6,1.0,3,10,CAN,4.0,ANTONELLI V,6 - 10,20,BRA,0:20
Time-Out,6,,3,10,CAN,4.0,,6 - 10,20,BRA,0:20
Action shot - Saved,6,12.0,3,10,CAN,4.0,VRLIC J,6 - 10,12,BRA,0:12
Starting goalkeeper,0,1.0,4,0,USA,1.0,ANTONELLI V,0 - 0,480,BRA,8:00
Starting goalkeeper,0,1.0,4,0,USA,1.0,MOSES M,0 - 0,480,USA,8:00
Sprint won possession,0,7.0,4,0,USA,1.0,SAMUELS J,0 - 0,480,USA,8:00
Action shot - Blocked,0,8.0,4,0,USA,1.0,AZEVEDO T,0 - 0,453,USA,7:33
Turnover foul,0,12.0,4,0,USA,1.0,VRLIC J,0 - 0,432,BRA,7:12
Counter attack - Goal,0,6.0,4,1,USA,1.0,CUPIDO L,0 - 1,415,USA,6:55
Turnover foul,0,12.0,4,1,USA,1.0,VRLIC J,0 - 1,395,BRA,6:35
Action shot - Saved,0,3.0,4,1,USA,1.0,OBERT A,0 - 1,376,USA,6:16
Turnover foul,0,3.0,4,1,USA,1.0,OBERT A,0 - 1,352,USA,5:52
20 sec. exclusion in field,0,10.0,4,1,USA,1.0,BONANNI B,0 - 1,350,USA,5:50
